order_id,sku,order_date,quantity,unit_product_price
ORD196927,WVX,2025-11-02,9,5.0
ORD196314,YAE,2025-06-07,2,22.0
ORD187583,GOE,2026-03-24,1,14.0
ORD101641,ZYZ,2026-01-22,7,5.0
ORD167909,KLW,2025-07-23,2,18.0
ORD126749,KLW,2025-11-24,2,18.0
ORD130614,WVI,2025-06-03,3,11.0
ORD103511,WBF,2025-06-12,1,23.0
ORD152160,KZP,2025-07-30,6,16.0
ORD162699,KNE,2025-06-18,3,24.0
ORD135918,PCC,2025-07-04,5,23.0
ORD102141,OXT,2025-10-08,9,23.0
ORD121978,TOT,2025-10-22,9,15.0
ORD129941,ANG,2026-04-21,9,20.0
ORD152158,URT,2025-09-11,1,5.0
ORD181812,BLA,2026-04-03,4,7.0
ORD199220,MFN,2025-08-11,1,8.0
ORD159300,JRM,2025-10-25,9,13.0
ORD148406,EBK,2025-11-21,2,5.0
ORD196121,WBF,2025-07-16,4,23.0
ORD139526,KLW,2025-10-09,3,18.0
ORD195778,LJI,2025-09-25,2,25.0
ORD139757,OAS,2026-04-01,1,17.0
ORD149143,WVI,2026-05-03,2,11.0
ORD131570,XCU,2025-11-08,2,18.0
ORD154403,BKO,2025-07-28,1,25.0
ORD141473,OUC,2026-01-10,7,25.0
ORD162236,SMW,2025-09-30,3,15.0
ORD192220,URT,2025-11-26,4,5.0
ORD168205,OUC,2025-11-28,1,25.0
ORD107689,AES,2025-08-17,8,5.0
ORD145105,SMW,2026-05-31,8,15.0
ORD159249,FBC,2025-09-28,3,16.0
ORD133718,YJD,2025-09-06,1,7.0
ORD164669,MFN,2025-08-31,9,8.0
ORD148646,WVX,2025-07-28,2,5.0
ORD142566,QZY,2025-08-24,2,24.0
ORD116976,WVI,2026-03-04,5,11.0
ORD109552,SKK,2025-08-27,2,6.0
ORD133107,HHN,2026-03-12,10,14.0
ORD111649,KZP,2026-02-18,9,16.0
ORD124739,KNE,2026-02-04,3,24.0
ORD191283,AES,2025-10-09,3,5.0
ORD105619,MFN,2025-07-04,1,8.0
ORD110724,JRB,2026-04-12,10,17.0
ORD165761,URT,2026-01-05,2,5.0
ORD151095,WVI,2025-11-25,2,11.0
ORD132223,SKK,2026-01-23,2,6.0
ORD144155,XCU,2025-08-01,5,18.0
ORD194520,CPW,2025-07-29,2,22.0
ORD179740,YAE,2025-12-24,2,22.0
ORD150412,WYE,2025-12-04,2,12.0
ORD189929,FHB,2025-12-08,7,15.0
ORD187355,LJF,2025-12-20,2,19.0
ORD111610,RSD,2025-07-08,4,7.0
ORD118181,RXX,2025-11-29,2,18.0
ORD138291,KLW,2026-04-15,9,18.0
ORD137387,DFA,2025-10-20,2,11.0
ORD157586,ZJB,2025-12-24,2,8.0
ORD133292,HWV,2025-10-16,2,25.0
ORD147069,CPW,2026-01-25,6,22.0
ORD177665,DNM,2026-01-29,8,10.0
ORD160736,HWV,2026-04-09,9,25.0
ORD173176,LKY,2025-12-18,2,6.0
ORD132624,LKY,2025-10-05,10,6.0
ORD144047,FQP,2025-07-24,4,17.0
ORD130319,DRC,2026-05-05,4,6.0
ORD197300,EBK,2026-04-23,9,5.0
ORD185707,WVX,2026-01-12,2,5.0
ORD166930,MFN,2025-11-15,1,8.0
ORD130274,SCC,2026-04-28,2,19.0
ORD113728,FYL,2026-04-19,10,18.0
ORD137110,JRB,2025-09-01,6,17.0
ORD163147,GOE,2026-05-06,4,14.0
ORD106566,KZP,2026-05-26,3,16.0
ORD104827,SSY,2026-03-11,1,18.0
ORD139114,MFN,2025-12-06,3,8.0
ORD188350,TYP,2025-12-15,2,18.0
ORD196699,SCC,2026-03-27,10,19.0
ORD126952,DNM,2026-01-05,5,10.0
ORD129868,LJF,2026-03-21,2,19.0
ORD155208,NUJ,2026-03-08,7,19.0
ORD133995,IEE,2026-04-18,3,18.0
ORD123802,WSQ,2025-11-09,8,21.0
ORD158510,IEE,2025-09-23,1,18.0
ORD129537,URT,2025-07-26,2,5.0
ORD153362,YJD,2025-10-22,9,7.0
ORD131391,KZP,2025-07-10,1,16.0
ORD150376,RXX,2025-07-16,3,18.0
ORD128080,UNJ,2025-06-17,1,17.0
ORD187211,AQN,2025-10-12,1,5.0
ORD196389,KNE,2025-10-25,6,24.0
ORD102740,OXT,2026-04-16,4,23.0
ORD133773,WBF,2026-04-16,10,23.0
ORD110931,KLW,2025-08-31,9,18.0
ORD165716,WVI,2025-12-29,2,11.0
ORD197755,OXT,2025-08-07,4,23.0
ORD123083,TFH,2025-07-14,4,22.0
ORD168641,DUO,2026-04-25,2,23.0
ORD182589,YVQ,2025-06-29,2,19.0
ORD142800,KZP,2026-01-08,2,16.0
ORD121534,OUC,2026-02-28,4,25.0
ORD104089,URT,2026-03-20,1,5.0
ORD176092,YJD,2025-09-19,3,7.0
ORD169782,OUC,2025-09-14,3,25.0
ORD163833,LJF,2025-10-31,2,19.0
ORD123449,EBK,2025-12-16,10,5.0
ORD137169,YJD,2025-12-01,1,7.0
ORD148731,LWI,2025-11-06,3,22.0
ORD109162,BCD,2025-08-10,7,17.0
ORD159471,ZJB,2025-08-16,3,8.0
ORD176983,CPW,2025-12-09,2,22.0
ORD150367,CQO,2025-12-31,3,19.0
ORD165877,CKR,2025-08-11,2,24.0
ORD121796,ZJB,2025-12-08,4,8.0
ORD167402,TOT,2026-04-20,3,15.0
ORD107698,SMW,2026-04-18,3,15.0
ORD108822,QZY,2026-01-19,4,24.0
ORD192989,SCC,2026-02-01,10,19.0
ORD128152,NYB,2026-05-05,3,8.0
ORD175702,DUO,2026-03-30,3,23.0
ORD196283,DNM,2025-10-28,8,10.0
ORD159574,OXT,2025-08-28,4,23.0
ORD188954,JRM,2026-03-09,1,13.0
ORD121707,DRC,2025-12-11,4,6.0
ORD122579,YJD,2026-04-09,10,7.0
ORD183783,BHY,2025-10-12,2,5.0
ORD148591,LWO,2025-09-28,1,23.0
ORD107948,LJF,2026-05-23,3,19.0
ORD124917,PRR,2025-12-18,6,18.0
ORD176407,WDW,2026-04-11,1,24.0
ORD178631,NYB,2026-05-20,1,8.0
ORD105160,EBK,2025-08-13,4,5.0
ORD135087,LJF,2026-02-24,3,19.0
ORD109239,WVX,2026-05-10,3,5.0
ORD146291,TOT,2025-08-12,6,15.0
ORD154021,YVQ,2026-01-11,3,19.0
ORD195141,MDN,2025-12-16,1,16.0
ORD142968,LJF,2025-10-31,2,19.0
ORD146201,PRR,2026-03-17,3,18.0
ORD196161,YAE,2026-05-03,4,22.0
ORD183263,DYL,2025-09-10,4,21.0
ORD103629,OXT,2026-02-15,4,23.0
ORD125973,WVI,2026-01-29,4,11.0
ORD172276,WDW,2025-06-21,3,24.0
ORD183963,UWD,2025-08-22,3,25.0
ORD150379,WVX,2025-12-07,7,5.0
ORD118662,UJI,2025-08-26,4,19.0
ORD171191,PRR,2025-06-18,4,18.0
ORD185999,UVE,2025-08-30,2,9.0
ORD170718,SCC,2025-06-05,6,19.0
ORD151419,WVX,2025-11-05,1,5.0
ORD171619,BHY,2026-05-05,8,5.0
ORD121218,LXL,2025-06-09,3,18.0
ORD171854,DNM,2025-08-22,10,10.0
ORD148407,JFY,2026-05-17,2,8.0
ORD163316,XDK,2025-09-30,3,14.0
ORD161127,DFA,2026-05-14,1,11.0
ORD118275,QTN,2025-10-14,3,25.0
ORD170343,OXT,2026-02-15,3,23.0
ORD143659,LJF,2025-08-27,3,19.0
ORD114218,VTP,2025-12-09,4,18.0
ORD145628,EJK,2025-09-18,2,13.0
ORD114469,OUC,2025-06-04,7,25.0
ORD103676,TYP,2025-09-30,1,18.0
ORD176009,YJD,2026-02-28,4,7.0
ORD167391,KGS,2026-01-07,1,24.0
ORD134969,SCC,2025-07-29,6,19.0
ORD103425,BLA,2025-11-27,8,7.0
ORD111695,NYB,2025-11-22,3,8.0
ORD103845,QTN,2026-03-19,2,25.0
ORD148595,EBK,2025-09-01,4,5.0
ORD184428,LWI,2025-10-26,6,22.0
ORD196075,KSL,2026-05-04,3,5.0
ORD161734,LWI,2025-06-09,9,22.0
ORD167393,XCU,2026-05-13,3,18.0
ORD139420,XCU,2025-10-18,3,18.0
ORD160432,ZAQ,2026-04-17,3,19.0
ORD120436,MHO,2025-11-24,8,17.0
ORD180776,HDN,2025-08-23,9,18.0
ORD121431,WBF,2026-02-07,2,23.0
ORD179939,SKK,2026-01-18,4,6.0
ORD113438,FBK,2026-02-04,2,11.0
ORD150578,BHY,2025-10-15,3,5.0
ORD179917,WVX,2026-03-18,10,5.0
ORD129197,RXX,2025-10-09,1,18.0
ORD110104,TGU,2026-01-03,2,20.0
ORD102530,TYP,2025-06-01,8,18.0
ORD176765,DNM,2025-12-23,3,10.0
ORD139985,ITS,2025-12-07,3,21.0
ORD123454,YAE,2026-01-16,7,22.0
ORD144887,ZGL,2025-07-20,2,7.0
ORD164047,ANG,2026-03-14,7,20.0
ORD181378,LJF,2025-10-25,4,19.0
ORD196383,BHY,2026-05-24,5,5.0
ORD176278,YAE,2026-01-14,7,22.0
ORD109050,BVD,2025-10-10,3,25.0
ORD134312,DFA,2025-10-18,2,11.0
ORD139110,DNM,2026-01-17,1,10.0
ORD195848,DUO,2025-10-09,4,23.0
ORD187482,MNA,2025-08-11,1,16.0
ORD139979,JFY,2025-12-30,4,8.0
ORD183455,BVD,2025-12-08,7,25.0
ORD136679,OUC,2025-11-10,3,25.0
ORD193242,FBC,2026-02-26,1,16.0
ORD162710,DFA,2026-04-29,7,11.0
ORD138008,JFY,2025-07-26,3,8.0
ORD193325,GIH,2025-12-23,7,20.0
ORD118291,QZY,2026-04-20,3,24.0
ORD135101,SMW,2025-12-30,7,15.0
ORD133271,WDW,2026-01-18,9,24.0
ORD119961,ZJB,2025-06-20,2,8.0
ORD147725,WVI,2025-12-26,1,11.0
ORD143003,KLW,2025-11-10,3,18.0
ORD149567,SKK,2025-07-11,10,6.0
ORD186616,TGU,2026-04-21,4,20.0
ORD175834,TXK,2025-12-16,4,10.0
ORD148916,DRC,2025-11-13,4,6.0
ORD122281,SJE,2026-02-26,6,16.0
ORD135808,SCC,2026-01-08,1,19.0
ORD132670,LJF,2026-01-22,10,19.0
ORD125733,CIV,2025-09-03,10,15.0
ORD112856,KLW,2026-03-23,2,18.0
ORD162324,EBK,2025-08-28,3,5.0
ORD182186,FUS,2026-04-03,4,18.0
ORD196663,FBC,2026-01-22,8,16.0
ORD135428,TGQ,2026-05-18,6,22.0
ORD122553,TGQ,2025-09-13,4,22.0
ORD171399,IEA,2026-03-20,8,9.0
ORD175109,XDK,2025-11-24,10,14.0
ORD148101,EZT,2025-07-12,1,21.0
ORD174516,SVR,2025-10-03,5,18.0
