sku,product_name,category,brand,demand,price,cost
KNE,Exfoliator,Skincare,LovelyBeauty,Medium,24.0,16.8
NYB,Cuticle Oil,Nailcare,LovelyBeauty,High,8.0,3.2
KSL,Heat Protectant,Haircare,LovelyBeauty,Low,5.0,2.0
LXL,Nail Polish,Nailcare,LovelyBeauty,Medium,18.0,10.8
IUU,Shower Gel,Bodycare,LuxBeauty,Low,15.0,8.25
OAS,Bath Bomb,Bodycare,PamperBeauty,Low,17.0,8.5
NYY,Hair Mask,Haircare,RenewBeauty,Low,24.0,13.2
LRM,Deodorant,Bodycare,RenewBeauty,Medium,18.0,10.8
OUC,Bath Bomb,Bodycare,EurBeauty,High,25.0,17.5
HWV,Dry Shampoo,Haircare,EurBeauty,Medium,25.0,12.5
VFZ,Moisturiser,Skincare,LuxBeauty,Low,13.0,5.2
FUS,Shower Oil,Bodycare,LovelyBeauty,Medium,18.0,8.1
UVE,Cuticle Oil,Nailcare,LovelyBeauty,Low,9.0,5.85
WVI,Nail Polish,Nailcare,LuxBeauty,High,11.0,4.95
EPS,Shower Oil,Bodycare,Skinore,Low,16.0,10.4
WNU,Conditioner,Haircare,LuxBeauty,Low,11.0,4.95
FBK,Bath Bomb,Bodycare,EurBeauty,High,11.0,7.7
MFN,Exfoliator,Skincare,Skinore,High,8.0,3.6
KGS,Eye Cream,Skincare,CareForSelf,Low,24.0,15.6
LJF,Heat Protectant,Haircare,GlowAndShow,High,19.0,8.55
AQN,Gel,Haircare,LuxBeauty,Low,5.0,3.5
LBG,Body Scrub,Bodycare,LovelyBeauty,Medium,16.0,10.4
BHY,Gel,Haircare,EurBeauty,Medium,5.0,3.25
GIH,Acetone,Nailcare,RenewBeauty,Medium,20.0,14.0
MHO,Hair Mask,Haircare,LuxBeauty,Low,17.0,8.5
EJK,Sea Salt Spray,Haircare,LovelyBeauty,Medium,13.0,9.1
KMU,Exfoliator,Skincare,EurBeauty,Low,13.0,8.45
TFH,Nail Polish,Nailcare,RenewBeauty,Medium,22.0,15.4
UWD,Shower Oil,Bodycare,RenewBeauty,Medium,25.0,11.25
XDK,Shower Oil,Bodycare,RenewBeauty,High,14.0,6.3
FHB,Shampoo,Haircare,GlowAndShow,Low,15.0,8.25
TYP,Face Mask,Skincare,RenewBeauty,High,18.0,12.6
KLW,Hair Serum,Haircare,RenewBeauty,High,18.0,12.6
TXK,Cuticle Pusher,Nailcare,PamperBeauty,Low,10.0,6.5
TGU,Shower Oil,Bodycare,Skinore,Low,20.0,12.0
YVQ,Shaving Cream,Bodycare,RenewBeauty,High,19.0,9.5
EED,Sea Salt Spray,Haircare,CareForSelf,Low,5.0,3.25
ZJB,Cleanser,Skincare,CareForSelf,High,8.0,5.2
GJJ,Bath Bomb,Bodycare,RenewBeauty,Medium,18.0,12.6
CIV,Body Butter,Bodycare,EurBeauty,Low,15.0,7.5
VUQ,Body Scrub,Bodycare,LuxBeauty,Medium,16.0,8.8
IGY,Shower Oil,Bodycare,RenewBeauty,Low,17.0,11.05
LWO,Bar Soap,Bodycare,PamperBeauty,High,23.0,13.8
WVX,Shaving Cream,Bodycare,Skinore,High,5.0,2.75
XEW,Conditioner,Haircare,Skinore,Low,17.0,9.35
LFB,Acetone,Nailcare,GlowAndShow,Medium,21.0,8.4
