order_id,sku,quantity,order_date,unit_product_price,demand
ORD192102,JLQ,2,2025-08-21,23.0,High
ORD166002,OZB,10,2025-09-02,19.0,High
ORD185234,LNZ,1,2026-05-06,12.0,Medium
ORD105717,LPS,4,2026-05-03,25.0,High
ORD178396,WOW,4,2026-02-11,15.0,High
ORD144535,RCW,5,2025-12-01,23.0,High
ORD141348,OZB,4,2026-04-26,19.0,High
ORD103886,OQN,3,2026-01-22,18.0,High
ORD166402,CWA,3,2025-10-03,20.0,High
ORD181326,CEG,1,2025-08-23,15.0,High
ORD159378,RRI,3,2026-02-05,11.0,Medium
ORD106151,SPV,4,2025-07-26,6.0,High
ORD103190,ARU,4,2025-12-11,21.0,Medium
ORD176122,BES,5,2026-04-06,15.0,High
ORD160094,YZD,4,2025-09-19,15.0,High
ORD166742,OZB,4,2026-04-17,19.0,High
ORD126049,VKI,9,2026-05-12,6.0,Medium
ORD182732,WOW,2,2025-10-02,15.0,High
ORD119685,LAU,3,2025-12-20,5.0,High
ORD134912,NRZ,2,2026-05-29,18.0,High
ORD113975,MDN,5,2026-05-10,14.0,High
ORD160881,CGW,2,2025-12-31,11.0,Medium
ORD162845,CQO,2,2025-08-18,5.0,High
ORD186538,RNL,3,2026-01-21,19.0,High
ORD119563,LMQ,4,2025-06-18,20.0,High
ORD133655,RBX,8,2025-12-06,21.0,High
ORD190516,ZQH,4,2025-12-23,9.0,High
ORD183106,FLH,1,2025-10-17,10.0,High
ORD161199,FLH,3,2026-05-12,10.0,High
ORD142735,FKQ,7,2025-09-03,13.0,High
ORD175796,LER,8,2025-10-23,20.0,High
ORD100690,WAN,6,2026-03-05,25.0,Medium
ORD190181,FLH,4,2026-02-08,10.0,High
ORD134656,NRZ,4,2025-09-30,18.0,High
ORD135558,LAU,1,2025-07-16,5.0,High
ORD139975,JVR,6,2026-05-11,17.0,Medium
ORD193685,NRZ,2,2026-01-24,18.0,High
ORD175388,OQN,4,2026-05-05,18.0,High
ORD141381,HSD,2,2025-10-27,10.0,High
ORD175295,HSD,4,2026-01-10,10.0,High
ORD185160,QAG,4,2025-08-26,18.0,High
ORD154580,DXB,7,2026-01-26,8.0,High
ORD194352,RYE,3,2025-06-25,16.0,High
ORD174995,CQO,4,2026-03-29,5.0,High
ORD121668,WOW,2,2025-10-01,15.0,High
ORD179188,WXE,3,2026-02-02,12.0,High
ORD115783,KCJ,2,2025-09-23,10.0,High
ORD194031,JLQ,3,2025-12-31,23.0,High
ORD103744,OQN,1,2025-06-15,18.0,High
ORD138699,ARU,3,2025-12-17,21.0,Medium
ORD169555,TRB,9,2025-06-11,12.0,Medium
ORD168952,GWD,3,2025-12-06,24.0,High
ORD103874,MZV,2,2025-07-13,8.0,Medium
ORD119620,IGP,7,2025-09-20,9.0,High
ORD193967,CBB,3,2026-02-26,20.0,High
ORD149018,CBB,3,2025-12-04,20.0,High
ORD145608,CEG,7,2026-01-22,15.0,High
ORD108221,KRU,4,2025-09-29,16.0,Low
ORD172387,ZDV,3,2026-04-18,25.0,Medium
ORD171253,DRD,2,2025-06-02,17.0,Low
ORD167001,MYU,1,2025-12-06,11.0,Low
ORD117935,DXB,1,2026-05-29,8.0,High
ORD171543,NUD,6,2025-11-15,11.0,High
ORD129369,CEG,7,2025-06-16,15.0,High
ORD117200,OQN,2,2025-11-11,18.0,High
ORD119817,FKQ,10,2025-09-28,13.0,High
ORD109626,CEG,3,2026-01-27,15.0,High
ORD194194,SCN,1,2025-09-20,20.0,High
ORD106142,FCY,10,2026-05-23,18.0,High
ORD178656,OBP,3,2025-11-07,5.0,Low
ORD167480,RYE,10,2025-06-10,16.0,High
ORD137368,WRS,2,2026-03-09,18.0,High
ORD150290,LMQ,8,2025-10-07,20.0,High
ORD146469,RYE,2,2026-05-25,16.0,High
ORD172184,GWD,3,2025-08-22,24.0,High
ORD145983,WXE,6,2025-11-21,12.0,High
ORD118767,UPP,5,2025-09-03,10.0,Medium
ORD167008,RNL,2,2025-06-24,19.0,High
ORD155976,NRP,3,2025-10-07,15.0,High
ORD127564,PSJ,4,2025-06-07,7.0,High
ORD145491,FKQ,1,2025-12-01,13.0,High
ORD157940,CAT,3,2025-08-24,12.0,Low
ORD108680,ZUW,2,2025-08-24,22.0,Medium
ORD166917,OZB,4,2025-06-27,19.0,High
ORD109652,XIM,9,2026-01-31,12.0,Medium
ORD108270,KCJ,4,2026-05-09,10.0,High
ORD184545,ZGM,6,2026-05-31,17.0,High
ORD199014,FLH,3,2026-04-02,10.0,High
ORD196557,HSD,1,2025-12-13,10.0,High
ORD158258,ADM,6,2026-04-01,20.0,High
ORD123659,RRI,1,2025-07-09,11.0,Medium
ORD131416,WRS,10,2026-04-16,18.0,High
ORD183546,CQO,1,2025-07-16,5.0,High
ORD111171,XVX,3,2026-04-30,23.0,High
ORD118397,CWA,10,2025-11-07,20.0,High
ORD197690,CWA,8,2025-12-29,20.0,High
ORD120508,OZB,4,2025-10-02,19.0,High
ORD197894,LRX,2,2026-05-04,18.0,Low
ORD164227,JVR,3,2026-02-28,17.0,Medium
ORD106134,JZT,3,2026-03-07,17.0,High
ORD120333,OZB,5,2026-02-10,19.0,High
ORD157495,GXL,3,2025-07-21,11.0,Medium
ORD143975,LER,3,2026-03-08,20.0,High
ORD197344,UYZ,10,2026-03-01,22.0,Low
ORD172987,AFY,2,2025-06-18,16.0,Low
ORD176153,FKQ,8,2026-04-26,13.0,High
ORD138044,WAN,1,2025-08-19,25.0,Medium
ORD152800,MGY,3,2025-08-11,9.0,Low
ORD142659,LQT,1,2025-09-03,20.0,Medium
ORD186974,LPS,10,2025-09-30,25.0,High
ORD132017,NRZ,8,2025-11-14,18.0,High
ORD103024,SPV,6,2026-01-09,6.0,High
ORD139393,WRS,5,2025-06-08,18.0,High
ORD124534,OYF,3,2025-08-24,6.0,High
ORD115007,DIY,2,2026-01-23,12.0,Low
ORD130224,GXL,3,2025-06-23,11.0,Medium
ORD126550,EVW,9,2025-12-22,7.0,High
ORD153360,BES,6,2026-04-21,15.0,High
ORD181498,WOW,2,2025-11-05,15.0,High
ORD163581,OZB,3,2025-12-25,19.0,High
ORD101500,SNC,7,2025-12-07,12.0,High
ORD127520,NUD,2,2026-05-21,11.0,High
ORD124051,JLQ,1,2025-08-13,23.0,High
ORD131598,IGP,10,2025-07-21,9.0,High
ORD158009,WFV,8,2026-05-21,6.0,High
