sku,product_name,category,brand,demand,price,cost
UHR,Sea Salt Spray,Haircare,LuxBeauty,Low,9.0,4.95
HFC,Nail File,Nailcare,CareForSelf,Medium,13.0,6.5
VKI,Toner,Skincare,EurBeauty,Medium,6.0,3.0
KRU,Bath Salt,Bodycare,RenewBeauty,Low,16.0,6.4
FJZ,Scalp Exfoliator,Haircare,LovelyBeauty,Medium,12.0,6.0
CXQ,Shower Gel,Bodycare,LovelyBeauty,High,17.0,6.8
CQO,Moisturiser,Skincare,CareForSelf,High,5.0,2.25
NRZ,Nail Polish,Nailcare,Skinore,High,18.0,7.2
VQB,Body Oil,Bodycare,GlowAndShow,Low,14.0,7.7
OIT,Bar Soap,Bodycare,LuxBeauty,Medium,20.0,8.0
SNC,Heat Protectant,Haircare,LovelyBeauty,High,12.0,7.8
ZSI,Deodorant,Bodycare,PamperBeauty,Low,18.0,11.7
CVO,Lip Balm,Skincare,LuxBeauty,Low,20.0,13.0
UPP,Hairspray,Haircare,EurBeauty,Medium,10.0,6.0
WFV,Nail File,Nailcare,PamperBeauty,High,6.0,3.6
GYW,Sunscreen,Skincare,LovelyBeauty,Low,24.0,10.8
WEK,Dry Shampoo,Haircare,LovelyBeauty,Medium,14.0,9.8
ROB,Nail Clippers,Nailcare,EurBeauty,Low,15.0,9.0
IFG,Spot Treatment,Skincare,PamperBeauty,High,23.0,12.65
ARU,Dry Shampoo,Haircare,Skinore,Medium,21.0,8.4
MDN,Cleanser,Skincare,RenewBeauty,High,14.0,6.3
LAU,Acetone,Nailcare,Skinore,High,5.0,3.5
OVY,Loofah,Bodycare,LuxBeauty,Medium,8.0,4.0
NGF,Lotion,Bodycare,LovelyBeauty,Low,19.0,12.35
NUD,Toner,Skincare,PamperBeauty,High,11.0,5.5
LRX,Sunscreen,Skincare,CareForSelf,Low,18.0,10.8
KYB,Nail File,Nailcare,LovelyBeauty,Medium,18.0,12.6
PKF,Nail Polish,Nailcare,CareForSelf,Medium,16.0,6.4
CAT,Loofah,Bodycare,RenewBeauty,Low,12.0,7.2
MZV,Hair Oil,Haircare,CareForSelf,Medium,8.0,4.8
TAW,Hair Oil,Haircare,PamperBeauty,Medium,17.0,10.2
MBW,Body Scrub,Bodycare,GlowAndShow,Medium,9.0,5.85
EOS,Body Scrub,Bodycare,GlowAndShow,Low,25.0,16.25
GIJ,Eye Cream,Skincare,EurBeauty,Low,18.0,7.2
GBF,Cleanser,Skincare,CareForSelf,Low,24.0,9.6
JPK,Bath Salt,Bodycare,GlowAndShow,Medium,19.0,11.4
MGM,Deodorant,Bodycare,CareForSelf,Low,12.0,7.8
BES,Shampoo,Haircare,Skinore,High,15.0,9.0
ILE,Hair Serum,Haircare,LovelyBeauty,Medium,14.0,7.7
OZB,Nail Polish,Nailcare,LovelyBeauty,High,19.0,12.35
JVR,Spot Treatment,Skincare,RenewBeauty,Medium,17.0,8.5
RNZ,Bath Bomb,Bodycare,EurBeauty,Medium,10.0,4.5
NFQ,Cleanser,Skincare,PamperBeauty,High,10.0,4.5
RIJ,Hair Serum,Haircare,PamperBeauty,Low,12.0,6.0
NMS,Spot Treatment,Skincare,LovelyBeauty,Low,16.0,7.2
VMG,Scalp Exfoliator,Haircare,Skinore,Medium,22.0,8.8
UAX,Nail File,Nailcare,EurBeauty,Medium,16.0,6.4
SNY,Body Serum,Bodycare,Skinore,Medium,15.0,6.75
FFE,Hairspray,Haircare,EurBeauty,Medium,5.0,2.5
WAN,Moisturiser,Skincare,Skinore,Medium,25.0,11.25
WXE,Cuticle Pusher,Nailcare,CareForSelf,High,12.0,7.2
SYF,Body Serum,Bodycare,Skinore,Low,11.0,4.95
LFP,Heat Protectant,Haircare,GlowAndShow,Low,15.0,9.0
AFY,Cuticle Pusher,Nailcare,Skinore,Low,16.0,8.8
CBB,Exfoliator,Skincare,RenewBeauty,High,20.0,11.0
CWA,Lotion,Bodycare,GlowAndShow,High,20.0,11.0
GZE,Scalp Exfoliator,Haircare,GlowAndShow,Medium,15.0,7.5
WRS,Body Serum,Bodycare,PamperBeauty,High,18.0,7.2
SMS,Hair Mask,Haircare,CareForSelf,Medium,23.0,10.35
QMW,Nail Polish,Nailcare,EurBeauty,High,25.0,12.5
GWD,Hair Mask,Haircare,LovelyBeauty,High,24.0,14.4
RYE,Razor,Bodycare,Skinore,High,16.0,8.8
MGY,Lotion,Bodycare,LovelyBeauty,Low,9.0,5.4
CWE,Toner,Skincare,EurBeauty,Low,24.0,13.2
DEW,Lotion,Bodycare,Skinore,Low,19.0,13.3
